Episode,Total Reward,Average Loss,Epsilon
0,-2.0099999606609344,12.406532675564572,0.95
1,-2.0099999606609344,0.9828642729029233,0.9495501124812523
2,-2.0099999606609344,0.6879046978385236,0.9491004498500375
3,-2.0099999606609344,0.43256100906947315,0.9486510119939398
4,-1.019999921321869,0.26760414303367347,0.9482017988005997
5,-3.0,0.23594768157467072,0.9477528101577141
6,-2.0099999606609344,0.2816891314150407,0.9473040459530356
7,3.330000013113022,0.26472196297193035,0.9468555060743733
8,-2.3399999737739563,0.23636683836859332,0.9464071904095923
9,-2.669999986886978,0.22603539516974924,0.9459590988466134
10,-2.669999986886978,0.22031071658105186,0.9455112312734141
11,-2.3399999737739563,0.17472017403631573,0.9450635875780271
12,-2.669999986886978,0.16702779339613275,0.9446161676485417
13,-2.0099999606609344,0.15402399235976233,0.9441689713731028
14,-2.0099999606609344,0.1667290781452818,0.9437219986399116
15,-2.669999986886978,0.17384559998529092,0.9432752493372245
16,-2.3399999737739563,0.13672875905728238,0.9428287233533545
17,-2.669999986886978,0.1523488566584984,0.94238242057667
18,-1.6799999475479126,0.14721123018903257,0.9419363408955952
19,3.9900000393390656,0.15156941840218174,0.9414904841986104
20,-3.0,0.14244468031260607,0.9410448503742512
21,-2.0099999606609344,0.13927434784116802,0.9405994393111093
22,3.9900000393390656,0.12679492651110721,0.9401542508978318
23,-3.0,0.1129854182742869,0.9397092850231217
24,3.0,0.13564052090552334,0.9392645415757375
25,-2.3399999737739563,0.1301331722822327,0.9388200204444933
26,-1.019999921321869,0.11066664845378994,0.9383757215182588
27,-1.019999921321869,0.12786433835158018,0.9379316446859594
28,-1.6799999475479126,0.13340319469815795,0.9374877898365757
29,-2.0099999606609344,0.12964498021367993,0.9370441568591441
30,-3.0,0.12305849447677081,0.9366007456427563
31,-3.0,0.13983995609373187,0.9361575560765596
32,-2.669999986886978,0.12470540061358744,0.9357145880497566
33,-2.669999986886978,0.11533698510924757,0.9352718414516051
34,-1.6799999475479126,0.13703477845333456,0.9348293161714186
35,-2.669999986886978,0.13910973365081278,0.9343870120985659
36,0.3000001311302185,0.12565072011259534,0.9339449291224706
37,-2.3399999737739563,0.13241754184891097,0.9335030671326122
38,-2.0099999606609344,0.12339709205596298,0.9330614260185254
39,-2.669999986886978,0.10367888248941828,0.9326200056697995
40,-3.0,0.10466244755570038,0.9321788059760797
41,-3.0,0.09829080650718555,0.9317378268270661
42,-2.669999986886978,0.10235326562615686,0.9312970681125136
43,-2.0099999606609344,0.09965506533830154,0.9308565297222329
44,-1.6799999475479126,0.09846752716538497,0.930416211546089
45,3.9900000393390656,0.11208527457034945,0.9299761134740027
46,-2.3399999737739563,0.09789714325093085,0.9295362353959493
47,-3.0,0.10556290419077782,0.9290965772019595
48,-2.669999986886978,0.10788202375154152,0.9286571387821183
49,-2.669999986886978,0.1218426169617376,0.9282179200265666
50,-2.669999986886978,0.12087027351780419,0.9277789208254993
51,-1.019999921321869,0.10985506989144767,0.927340141069167
52,-1.6799999475479126,0.1203627239383365,0.9269015806478744
53,-2.0099999606609344,0.10977589138138753,0.9264632394519815
54,-0.3599998950958252,0.11152373973474389,0.9260251173719031
55,-2.669999986886978,0.10294512304657441,0.9255872142981085
56,-2.3399999737739563,0.09076337262310764,0.9251495301211221
57,-3.0,0.09036732202815846,0.9247120647315229
58,-2.3399999737739563,0.0956075845677983,0.9242748180199443
59,-1.019999921321869,0.08127397007700923,0.9238377898770748
