Episode,Total Reward,Average Loss,Epsilon
0,-2.669999986886978,0.003334394805789251,0.95
1,3.9900000393390656,0.0010396272408970157,0.9495501124812523
2,-1.019999921321869,0.0008705339043785898,0.9491004498500375
3,-3.0,0.0009873885477563735,0.9486510119939398
4,-2.669999986886978,0.0011663280814800572,0.9482017988005997
5,-2.3399999737739563,0.001467786993163277,0.9477528101577141
6,-2.669999986886978,0.001521823242435745,0.9473040459530356
7,-2.3399999737739563,0.0017244404481963056,0.9468555060743733
8,-2.669999986886978,0.002519728956771829,0.9464071904095923
9,-3.0,0.0025317889662049248,0.9459590988466134
10,-1.3499999344348907,0.0017317022342350202,0.9455112312734141
11,-2.669999986886978,0.001690641116547773,0.9450635875780271
12,-2.0099999606609344,0.001068188690562353,0.9446161676485417
13,-2.0099999606609344,0.0013206268457143968,0.9441689713731028
14,-2.3399999737739563,0.0007950374803273296,0.9437219986399116
15,-2.3399999737739563,0.0010801121657143997,0.9432752493372245
16,-3.0,0.0009162814337673944,0.9428287233533545
17,-2.0099999606609344,0.0012825664404202618,0.94238242057667
18,3.6600000262260437,0.0014834641711662165,0.9419363408955952
19,3.330000013113022,0.0018773409378015182,0.9414904841986104
20,-0.689999908208847,0.001378512339492425,0.9410448503742512
21,-1.3499999344348907,0.0008996339456713377,0.9405994393111093
22,4.320000052452087,0.0009111096524808387,0.9401542508978318
23,-0.3599998950958252,0.0010573489581160625,0.9397092850231217
24,-1.6799999475479126,0.000989052818032279,0.9392645415757375
25,-2.3399999737739563,0.0011131505999155402,0.9388200204444933
26,-2.0099999606609344,0.0013939498973411753,0.9383757215182588
27,-1.6799999475479126,0.001743699919469917,0.9379316446859594
28,-2.669999986886978,0.0013319849141718557,0.9374877898365757
29,-2.669999986886978,0.0019373505527039824,0.9370441568591441
30,-2.3399999737739563,0.0018681012456111497,0.9366007456427563
31,-2.669999986886978,0.0018317768955483432,0.9361575560765596
32,-1.019999921321869,0.00131623484226411,0.9357145880497566
33,-1.3499999344348907,0.0018616814056282367,0.9352718414516051
34,-1.6799999475479126,0.0013794775549669086,0.9348293161714186
35,-2.0099999606609344,0.0018718605133511447,0.9343870120985659
36,-3.0,0.001645195270172805,0.9339449291224706
37,1.290000170469284,0.0017280911495487932,0.9335030671326122
38,-2.3399999737739563,0.001370903075725382,0.9330614260185254
39,-2.3399999737739563,0.0010051046417614187,0.9326200056697995
40,-2.669999986886978,0.0009779782870013613,0.9321788059760797
41,-2.3399999737739563,0.0017620238852994487,0.9317378268270661
42,3.330000013113022,0.001793072442761973,0.9312970681125136
43,-2.0099999606609344,0.001399432660245528,0.9308565297222329
44,-1.3499999344348907,0.001315359914101341,0.930416211546089
45,4.320000052452087,0.0008078534259036238,0.9299761134740027
46,-2.669999986886978,0.00044137956923661877,0.9295362353959493
47,3.330000013113022,0.000729149727330152,0.9290965772019595
48,-2.3399999737739563,0.0006953843089475988,0.9286571387821183
49,-1.019999921321869,0.000286886575728283,0.9282179200265666
50,-2.669999986886978,0.0006249981370828229,0.9277789208254993
51,3.6600000262260437,0.0006798227575228522,0.927340141069167
52,-1.6799999475479126,0.0009583782853969354,0.9269015806478744
53,-2.669999986886978,0.0013071802337548853,0.9264632394519815
54,-2.669999986886978,0.0008503883407618842,0.9260251173719031
55,-2.669999986886978,0.0009572293171164775,0.9255872142981085
56,-2.669999986886978,0.0013106961374172092,0.9251495301211221
57,-2.669999986886978,0.001312424059869686,0.9247120647315229
58,-2.0099999606609344,0.001718932768701549,0.9242748180199443
59,-2.3399999737739563,0.0020607808871156317,0.9238377898770748
60,-1.3499999344348907,0.0013955870203487268,0.9234009801936574
61,-2.669999986886978,0.0010233246871537535,0.9229643888604894
62,-2.0099999606609344,0.0011465028534048834,0.9225280157684234
63,-3.0,0.0007655388697795448,0.9220918608083657
64,-2.3399999737739563,0.0015276296020225737,0.9216559238712778
65,0.3000001311302185,0.0015599974274390907,0.9212202048481754
66,-3.0,0.00011963891903607747,0.9207847036301288
67,-2.669999986886978,0.000802731011986649,0.9203494201082625
68,-3.0,0.000988252094138484,0.9199143541737559
69,3.9900000393390656,0.0009497264926594248,0.9194795057178423
70,-2.0099999606609344,0.0009732769018718907,0.9190448746318097
71,-1.6799999475479126,0.0008383102626326247,0.9186104608070004
72,4.980000078678131,0.0009363319111518653,0.9181762641348107
73,3.330000013113022,0.0009803822830917852,0.9177422845066916
74,-2.669999986886978,0.001549532431324931,0.9173085218141481
75,-2.3399999737739563,0.0017019250592209593,0.9168749759487396
76,-1.019999921321869,0.0016557614740386987,0.9164416468020795
77,-2.0099999606609344,0.001309704173227189,0.9160085342658357
78,-2.0099999606609344,0.0018970542073824094,0.91557563823173
79,-2.0099999606609344,0.00232408742618407,0.9151429585915384
80,-3.0,0.0016339597029752407,0.9147104952370908
81,-3.0,0.0018324001031418072,0.9142782480602717
82,-2.669999986886978,0.0018055953994300363,0.9138462169530189
83,3.9900000393390656,0.0019194846548513768,0.913414401807325
84,-2.3399999737739563,0.0012909183214631908,0.912982802515236
85,-2.669999986886978,0.0020520646657391593,0.9125514189688523
86,-3.0,0.0016065176509410949,0.9121202510603276
87,-1.6799999475479126,0.0015701856928514116,0.9116892986818702
88,-1.6799999475479126,0.0013577621915896894,0.9112585617257419
89,-3.0,0.0005101876196099758,0.9108280400842587
90,-1.019999921321869,0.0015272443882673409,0.9103977336497899
