Episode,Total Reward,Average Loss,Epsilon
0,0.0,13.20479082654823,0.95
1,25.0,2.084347413792859,0.9498200179988
2,5.0,1.4987245894390153,0.9496400719904009
3,5.0,1.16876389734244,0.9494601619676049
4,30.0,0.9434442557181283,0.9492802879232153
5,0.0,0.8458909893105196,0.9491004498500375
6,0.0,0.7233950866652108,0.9489206477408777
7,0.0,0.6395129952139742,0.948740881588544
8,20.0,0.6342499799534754,0.9485611513858457
9,5.0,0.619082715291726,0.9483814571255935
10,15.0,0.5892249812344903,0.9482017988005997
11,15.0,0.5511161146038662,0.948022176403678
12,5.0,0.5402203440526446,0.9478425899276436
13,0.0,0.5464175041807935,0.9476630393653127
14,5.0,0.4904317916086603,0.9474835247095036
15,20.0,0.4437577233261225,0.9473040459530356
16,25.0,0.4846522098237818,0.9471246030887296
17,20.0,0.4811655107281498,0.9469451961094079
18,25.0,0.44932457119381675,0.946765825007894
19,10.0,0.4071859693012728,0.9465864897770133
20,15.0,0.3824417505868905,0.9464071904095923
21,0.0,0.38518510985241133,0.946227926898459
22,25.0,0.3590597033328404,0.946048699236443
23,0.0,0.348492576899007,0.945869507416375
24,25.0,0.3440308250468363,0.9456903514310875
25,25.0,0.32923517845530004,0.9455112312734141
26,25.0,0.3187967079763936,0.94533214693619
27,5.0,0.28637180996726014,0.945153098412252
28,30.0,0.3005532838710994,0.9449740856944381
29,20.0,0.3055670083998439,0.9447951087755877
30,25.0,0.3516230325143401,0.9446161676485417
31,0.0,0.37028979825615144,0.9444372623061426
32,10.0,0.3614810199276034,0.944258392741234
33,0.0,0.3598203076881931,0.9440795589466614
34,10.0,0.36065071317584674,0.9439007609152712
35,20.0,0.36160942734259865,0.9437219986399116
36,25.0,0.35765639336512567,0.943543272113432
37,5.0,0.32980320854227757,0.9433645813286834
38,0.0,0.3216566218684117,0.9431859262785182
39,10.0,0.2969253995747709,0.9430073069557902
40,20.0,0.3080259100922734,0.9428287233533545
41,5.0,0.3081613955357291,0.9426501754640679
42,25.0,0.32282267663526804,0.9424716632807885
43,25.0,0.30927342965722626,0.9422931867963757
44,20.0,0.32733457627889834,0.9421147460036905
45,60.0,0.31563277422305835,0.9419363408955952
46,0.0,0.3147289739564919,0.9417579714649538
47,25.0,0.34656108220584414,0.9415796377046313
48,0.0,0.3297959186190843,0.9414013396074944
49,25.0,0.30907253584730515,0.9412230771664112
50,40.0,0.3033528959959425,0.9410448503742512
51,5.0,0.30596899683032014,0.9408666592238853
52,5.0,0.3020408284888102,0.940688503708186
53,30.0,0.277109889044577,0.9405103838200269
54,0.0,0.27073224926633493,0.9403322995522834
55,70.0,0.26435791828747507,0.9401542508978318
56,10.0,0.2699655027365949,0.9399762378495504
57,20.0,0.26556950846643174,0.9397982604003187
58,0.0,0.2709979322783852,0.9396203185430174
59,5.0,0.26225465250321434,0.9394424122705292
60,25.0,0.25721573189110825,0.9392645415757375
61,20.0,0.3321616205924952,0.9390867064515275
62,0.0,0.35647449230318107,0.9389089068907859
63,20.0,0.35211814499209576,0.9387311428864008
64,0.0,0.3471258760237818,0.9385534144312614
65,5.0,0.3519591670050177,0.9383757215182588
66,5.0,0.33633733696789825,0.9381980641402852
67,5.0,0.32955948541087093,0.9380204422902342
68,25.0,0.3257889438140804,0.9378428559610009
69,25.0,0.2982265580563791,0.9376653051454822
70,0.0,0.2906211406578143,0.9374877898365757
