Episode,Total Reward,Average Loss,Epsilon
0,-5.0,15.403052135412903,0.95
1,-5.0,3.286494162347582,0.9495501124812523
2,-5.0,2.4768593045024128,0.9491004498500375
3,-5.0,1.9687858685076418,0.9486510119939398
4,-5.0,1.012314491754317,0.9482017988005997
5,10.0,0.6848836619276226,0.9477528101577141
6,-5.0,0.5697722027561706,0.9473040459530356
7,-5.0,0.49156320426199174,0.9468555060743733
8,-5.0,0.5067434601155024,0.9464071904095923
9,-5.0,0.4877111998327235,0.9459590988466134
10,-5.0,0.47795871369071774,0.9455112312734141
11,-5.0,0.4908908241038504,0.9450635875780271
12,10.0,0.4964744370446166,0.9446161676485417
13,-5.0,0.5203579594209841,0.9441689713731028
14,-5.0,0.4764152380157279,0.9437219986399116
15,-5.0,0.4532222206549794,0.9432752493372245
16,-5.0,0.44970857628626737,0.9428287233533545
17,-5.0,0.45883363202112176,0.94238242057667
18,-5.0,0.40440552566967286,0.9419363408955952
19,10.0,0.33111127520632194,0.9414904841986104
20,-5.0,0.23642415299804675,0.9410448503742512
21,10.0,0.2569086708625158,0.9405994393111093
22,-5.0,0.2784528349073468,0.9401542508978318
23,-5.0,0.30383085637395063,0.9397092850231217
24,-5.0,0.273274005713376,0.9392645415757375
25,10.0,0.25638456486746775,0.9388200204444933
26,-5.0,0.24413400797935456,0.9383757215182588
27,-5.0,0.2659639549988603,0.9379316446859594
28,-5.0,0.2169770030773801,0.9374877898365757
29,-5.0,0.26750248863915854,0.9370441568591441
30,-5.0,0.2727691291047515,0.9366007456427563
31,10.0,0.2592145581685361,0.9361575560765596
32,-5.0,0.2417136289736378,0.9357145880497566
33,-5.0,0.23516780974073265,0.9352718414516051
34,10.0,0.2673970917763,0.9348293161714186
35,-5.0,0.24612511006500903,0.9343870120985659
36,-5.0,0.23740281990379286,0.9339449291224706
37,-5.0,0.23814272774383427,0.9335030671326122
38,10.0,0.2605143333328705,0.9330614260185254
39,-5.0,0.24083276345093446,0.9326200056697995
40,-5.0,0.2571479251260286,0.9321788059760797
41,10.0,0.26943951565424007,0.9317378268270661
42,-5.0,0.25741391358684107,0.9312970681125136
43,-5.0,0.2880960544911764,0.9308565297222329
44,-5.0,0.24164846873623652,0.930416211546089
45,-5.0,0.2390268005237177,0.9299761134740027
46,10.0,0.28959230126873137,0.9295362353959493
47,10.0,0.25965808123030937,0.9290965772019595
48,-5.0,0.22447767132365634,0.9286571387821183
49,-5.0,0.22214931392171233,0.9282179200265666
50,-5.0,0.24054204048718997,0.9277789208254993
51,-5.0,0.24833256524045208,0.927340141069167
52,-5.0,0.2262697894700986,0.9269015806478744
53,-5.0,0.19361305641583526,0.9264632394519815
54,-5.0,0.20933790951424391,0.9260251173719031
55,-5.0,0.21361476230484092,0.9255872142981085
56,-5.0,0.28481085505336523,0.9251495301211221
57,-5.0,0.20333431819911862,0.9247120647315229
58,-5.0,0.21930943580160453,0.9242748180199443
59,-5.0,0.2047068467714577,0.9238377898770748
60,-5.0,0.19356607417008279,0.9234009801936574
61,-5.0,0.16406648712040023,0.9229643888604894
62,-5.0,0.163693922368893,0.9225280157684234
63,-5.0,0.15309650963782837,0.9220918608083657
64,-5.0,0.176250074577545,0.9216559238712778
65,-5.0,0.21061793028100118,0.9212202048481754
66,-5.0,0.1956401200914705,0.9207847036301288
67,-5.0,0.19381683730362784,0.9203494201082625
68,-5.0,0.20649813252353302,0.9199143541737559
69,10.0,0.21544630945441257,0.9194795057178423
70,10.0,0.220245463630733,0.9190448746318097
71,10.0,0.17442393999134972,0.9186104608070004
